initial_asset_price,volatility,asset_price,probability
10,0.100000,6.208870,0.000010
10,0.100000,6.217683,0.000000
10,0.100000,6.226495,0.000000
10,0.100000,6.235308,0.000000
10,0.100000,6.244120,0.000000
10,0.100000,6.252933,0.000010
10,0.100000,6.261746,0.000000
10,0.100000,6.270558,0.000000
10,0.100000,6.279371,0.000000
10,0.100000,6.288183,0.000010
10,0.100000,6.296996,0.000010
10,0.100000,6.305808,0.000000
10,0.100000,6.314621,0.000000
10,0.100000,6.323434,0.000000
10,0.100000,6.332246,0.000020
10,0.100000,6.341059,0.000010
10,0.100000,6.349871,0.000000
10,0.100000,6.358684,0.000000
10,0.100000,6.367496,0.000000
10,0.100000,6.376309,0.000000
10,0.100000,6.385122,0.000000
10,0.100000,6.393934,0.000000
10,0.100000,6.402747,0.000010
10,0.100000,6.411559,0.000010
10,0.100000,6.420372,0.000000
10,0.100000,6.429184,0.000000
10,0.100000,6.437997,0.000000
10,0.100000,6.446809,0.000000
10,0.100000,6.455622,0.000000
10,0.100000,6.464435,0.000000
10,0.100000,6.473247,0.000000
10,0.100000,6.482060,0.000000
10,0.100000,6.490872,0.000000
10,0.100000,6.499685,0.000020
10,0.100000,6.508497,0.000010
10,0.100000,6.517310,0.000010
10,0.100000,6.526123,0.000010
10,0.100000,6.534935,0.000000
10,0.100000,6.543748,0.000000
10,0.100000,6.552560,0.000010
10,0.100000,6.561373,0.000010
10,0.100000,6.570185,0.000010
10,0.100000,6.578998,0.000010
10,0.100000,6.587811,0.000010
10,0.100000,6.596623,0.000010
10,0.100000,6.605436,0.000000
10,0.100000,6.614248,0.000010
10,0.100000,6.623061,0.000020
10,0.100000,6.631873,0.000010
10,0.100000,6.640686,0.000020
10,0.100000,6.649499,0.000000
10,0.100000,6.658311,0.000010
10,0.100000,6.667124,0.000020
10,0.100000,6.675936,0.000010
10,0.100000,6.684749,0.000020
10,0.100000,6.693561,0.000000
10,0.100000,6.702374,0.000020
10,0.100000,6.711186,0.000010
10,0.100000,6.719999,0.000000
10,0.100000,6.728812,0.000020
10,0.100000,6.737624,0.000000
10,0.100000,6.746437,0.000030
10,0.100000,6.755249,0.000040
10,0.100000,6.764062,0.000010
10,0.100000,6.772874,0.000000
10,0.100000,6.781687,0.000020
10,0.100000,6.790500,0.000020
10,0.100000,6.799312,0.000040
10,0.100000,6.808125,0.000020
10,0.100000,6.816937,0.000020
10,0.100000,6.825750,0.000020
10,0.100000,6.834562,0.000020
10,0.100000,6.843375,0.000000
10,0.100000,6.852188,0.000020
10,0.100000,6.861000,0.000030
10,0.100000,6.869813,0.000020
10,0.100000,6.878625,0.000010
10,0.100000,6.887438,0.000050
10,0.100000,6.896250,0.000040
10,0.100000,6.905063,0.000050
10,0.100000,6.913876,0.000030
10,0.100000,6.922688,0.000030
10,0.100000,6.931501,0.000020
10,0.100000,6.940313,0.000010
10,0.100000,6.949126,0.000030
10,0.100000,6.957938,0.000030
10,0.100000,6.966751,0.000060
10,0.100000,6.975564,0.000040
10,0.100000,6.984376,0.000070
10,0.100000,6.993189,0.000030
10,0.100000,7.002001,0.000030
10,0.100000,7.010814,0.000040
10,0.100000,7.019626,0.000090
10,0.100000,7.028439,0.000080
10,0.100000,7.037251,0.000040
10,0.100000,7.046064,0.000040
10,0.100000,7.054877,0.000060
10,0.100000,7.063689,0.000100
10,0.100000,7.072502,0.000090
10,0.100000,7.081314,0.000040
10,0.100000,7.090127,0.000060
10,0.100000,7.098939,0.000060
10,0.100000,7.107752,0.000060
10,0.100000,7.116565,0.000090
10,0.100000,7.125377,0.000080
