initial_asset_price,volatility,asset_price,probability
15,0.7,1.309043,0.000001
15,0.7,1.31048,0
15,0.7,1.311917,0
15,0.7,1.313354,0
15,0.7,1.314791,0
15,0.7,1.316228,0
15,0.7,1.317666,0
15,0.7,1.319103,0
15,0.7,1.32054,0
15,0.7,1.321977,0
15,0.7,1.323414,0
15,0.7,1.324851,0
15,0.7,1.326288,0
15,0.7,1.327725,0
15,0.7,1.329162,0
15,0.7,1.330599,0
15,0.7,1.332036,0
15,0.7,1.333473,0
15,0.7,1.33491,0
15,0.7,1.336347,0
15,0.7,1.337784,0
15,0.7,1.339221,0
15,0.7,1.340658,0
15,0.7,1.342095,0
15,0.7,1.343532,0
15,0.7,1.344969,0
15,0.7,1.346406,0
15,0.7,1.347843,0
15,0.7,1.34928,0
15,0.7,1.350717,0
15,0.7,1.352154,0
15,0.7,1.353591,0
15,0.7,1.355028,0
15,0.7,1.356465,0
15,0.7,1.357902,0
15,0.7,1.359339,0
15,0.7,1.360776,0
15,0.7,1.362213,0
15,0.7,1.36365,0
15,0.7,1.365087,0
15,0.7,1.366524,0
15,0.7,1.367961,0
15,0.7,1.369398,0
15,0.7,1.370835,0
15,0.7,1.372272,0
15,0.7,1.373709,0
15,0.7,1.375146,0
15,0.7,1.376583,0
15,0.7,1.37802,0
15,0.7,1.379457,0
15,0.7,1.380894,0
15,0.7,1.382332,0
15,0.7,1.383769,0
15,0.7,1.385206,0
15,0.7,1.386643,0
15,0.7,1.38808,0
15,0.7,1.389517,0
15,0.7,1.390954,0
15,0.7,1.392391,0
15,0.7,1.393828,0
15,0.7,1.395265,0
15,0.7,1.396702,0
15,0.7,1.398139,0
15,0.7,1.399576,0
15,0.7,1.401013,0
15,0.7,1.40245,0
15,0.7,1.403887,0
15,0.7,1.405324,0
15,0.7,1.406761,0
15,0.7,1.408198,0
15,0.7,1.409635,0
15,0.7,1.411072,0
15,0.7,1.412509,0
15,0.7,1.413946,0
15,0.7,1.415383,0
15,0.7,1.41682,0
15,0.7,1.418257,0
15,0.7,1.419694,0
15,0.7,1.421131,0
15,0.7,1.422568,0
15,0.7,1.424005,0
15,0.7,1.425442,0
15,0.7,1.426879,0
15,0.7,1.428316,0
15,0.7,1.429753,0
15,0.7,1.43119,0
15,0.7,1.432627,0
15,0.7,1.434064,0
15,0.7,1.435501,0
15,0.7,1.436938,0
15,0.7,1.438375,0
15,0.7,1.439812,0
15,0.7,1.441249,0
15,0.7,1.442686,0
15,0.7,1.444123,0
15,0.7,1.44556,0
15,0.7,1.446997,0
15,0.7,1.448435,0
15,0.7,1.449872,0
15,0.7,1.451309,0
15,0.7,1.452746,0
15,0.7,1.454183,0
15,0.7,1.45562,0
15,0.7,1.457057,0
15,0.7,1.458494,0
15,0.7,1.459931,0
15,0.7,1.461368,0
15,0.7,1.462805,0
15,0.7,1.464242,0
15,0.7,1.465679,0
15,0.7,1.467116,0
15,0.7,1.468553,0
15,0.7,1.46999,0
15,0.7,1.471427,0
15,0.7,1.472864,0
15,0.7,1.474301,0
15,0.7,1.475738,0
15,0.7,1.477175,0
15,0.7,1.478612,0
15,0.7,1.480049,0
15,0.7,1.481486,0
15,0.7,1.482923,0
15,0.7,1.48436,0
15,0.7,1.485797,0
15,0.7,1.487234,0
15,0.7,1.488671,0
15,0.7,1.490108,0
15,0.7,1.491545,0
15,0.7,1.492982,0
15,0.7,1.494419,0
15,0.7,1.495856,0
15,0.7,1.497293,0
15,0.7,1.49873,0
15,0.7,1.500167,0
15,0.7,1.501604,0
15,0.7,1.503041,0
15,0.7,1.504478,0
15,0.7,1.505915,0
15,0.7,1.507352,0
15,0.7,1.508789,0
15,0.7,1.510226,0
15,0.7,1.511663,0
15,0.7,1.5131,0
15,0.7,1.514538,0
15,0.7,1.515975,0
15,0.7,1.517412,0
15,0.7,1.518849,0
15,0.7,1.520286,0
15,0.7,1.521723,0
15,0.7,1.52316,0
15,0.7,1.524597,0
15,0.7,1.526034,0
15,0.7,1.527471,0
15,0.7,1.528908,0
15,0.7,1.530345,0.000001
15,0.7,1.531782,0
15,0.7,1.533219,0
15,0.7,1.534656,0
15,0.7,1.536093,0
15,0.7,1.53753,0
15,0.7,1.538967,0
15,0.7,1.540404,0
15,0.7,1.541841,0
15,0.7,1.543278,0
15,0.7,1.544715,0
15,0.7,1.546152,0
15,0.7,1.547589,0
15,0.7,1.549026,0
15,0.7,1.550463,0
15,0.7,1.5519,0
15,0.7,1.553337,0
15,0.7,1.554774,0.000001
15,0.7,1.556211,0
15,0.7,1.557648,0
15,0.7,1.559085,0
15,0.7,1.560522,0
15,0.7,1.561959,0
15,0.7,1.563396,0
15,0.7,1.564833,0
15,0.7,1.56627,0
15,0.7,1.567707,0
15,0.7,1.569144,0
15,0.7,1.570581,0
15,0.7,1.572018,0
15,0.7,1.573455,0
15,0.7,1.574892,0
15,0.7,1.576329,0
15,0.7,1.577766,0
15,0.7,1.579204,0
15,0.7,1.580641,0
