initial_asset_price,volatility,asset_price,probability
15,0.100000,10.020983,0.001850
15,0.100000,11.196854,0.029210
15,0.100000,12.372724,0.149330
15,0.100000,13.548595,0.301790
15,0.100000,14.724466,0.291330
15,0.100000,15.900337,0.159480
15,0.100000,17.076207,0.052620
15,0.100000,18.252078,0.012170
15,0.100000,19.427949,0.001980
15,0.100000,20.603820,0.000240
15,0.144444,8.804517,0.005250
15,0.144444,10.686244,0.084080
15,0.144444,12.567972,0.292380
15,0.144444,14.449700,0.341600
15,0.144444,16.331427,0.194910
15,0.144444,18.213155,0.064340
15,0.144444,20.094883,0.014740
15,0.144444,21.976611,0.002340
15,0.144444,23.858338,0.000280
15,0.144444,25.740066,0.000080
15,0.188889,6.728969,0.001450
15,0.188889,9.173338,0.055970
15,0.188889,11.617708,0.266680
15,0.188889,14.062078,0.354700
15,0.188889,16.506447,0.215770
15,0.188889,18.950817,0.078600
15,0.188889,21.395186,0.021110
15,0.188889,23.839556,0.004720
15,0.188889,26.283926,0.000850
15,0.188889,28.728295,0.000150
15,0.233333,6.474614,0.012540
15,0.233333,9.941734,0.220200
15,0.233333,13.408855,0.414730
15,0.233333,16.875976,0.248710
15,0.233333,20.343097,0.079670
15,0.233333,23.810218,0.019520
15,0.233333,27.277338,0.003730
15,0.233333,30.744459,0.000720
15,0.233333,34.211580,0.000160
15,0.233333,37.678701,0.000020
15,0.277778,6.411693,0.037250
15,0.277778,10.300305,0.302680
15,0.277778,14.188917,0.380490
15,0.277778,18.077529,0.192010
15,0.277778,21.966141,0.064890
15,0.277778,25.854752,0.017150
15,0.277778,29.743364,0.004290
15,0.277778,33.631976,0.000990
15,0.277778,37.520588,0.000170
15,0.277778,41.409200,0.000080
15,0.322222,5.868041,0.096610
15,0.322222,11.943619,0.523860
15,0.322222,18.019197,0.294510
15,0.322222,24.094775,0.069280
15,0.322222,30.170352,0.013120
15,0.322222,36.245930,0.002120
15,0.322222,42.321508,0.000360
15,0.322222,48.397085,0.000120
15,0.322222,54.472663,0.000010
15,0.322222,60.548241,0.000010
15,0.366667,5.670073,0.116590
15,0.366667,11.584267,0.477900
15,0.366667,17.498461,0.283430
15,0.366667,23.412655,0.090620
15,0.366667,29.326849,0.023340
15,0.366667,35.241042,0.005850
15,0.366667,41.155236,0.001750
15,0.366667,47.069430,0.000340
15,0.366667,52.983624,0.000140
15,0.366667,58.897818,0.000040
15,0.411111,6.896634,0.357100
15,0.411111,15.667134,0.490540
15,0.411111,24.437635,0.124620
15,0.411111,33.208135,0.022850
15,0.411111,41.978635,0.003820
15,0.411111,50.749136,0.000830
15,0.411111,59.519636,0.000180
15,0.411111,68.290137,0.000040
15,0.411111,77.060637,0.000010
15,0.411111,85.831137,0.000010
15,0.455556,6.776138,0.415940
15,0.455556,16.626319,0.454180
15,0.455556,26.476500,0.104570
15,0.455556,36.326681,0.019720
15,0.455556,46.176863,0.004260
15,0.455556,56.027044,0.000970
15,0.455556,65.877225,0.000300
15,0.455556,75.727406,0.000040
15,0.455556,85.577587,0.000010
15,0.455556,95.427768,0.000010
15,0.500000,6.982125,0.479850
15,0.500000,17.590033,0.402600
15,0.500000,28.197941,0.092120
15,0.500000,38.805848,0.019340
15,0.500000,49.413756,0.004530
15,0.500000,60.021664,0.001170
15,0.500000,70.629572,0.000290
15,0.500000,81.237480,0.000040
15,0.500000,91.845388,0.000030
15,0.500000,102.453296,0.000030
46,0.100000,30.086438,0.000600
46,0.100000,33.970647,0.019090
46,0.100000,37.854857,0.127350
46,0.100000,41.739066,0.307270
46,0.100000,45.623276,0.316190
46,0.100000,49.507485,0.165600
46,0.100000,53.391695,0.051470
46,0.100000,57.275904,0.010640
46,0.100000,61.160113,0.001630
46,0.100000,65.044323,0.000160
46,0.144444,25.196895,0.001060
46,0.144444,30.838447,0.032460
46,0.144444,36.479999,0.187310
46,0.144444,42.121552,0.340870
46,0.144444,47.763104,0.272930
46,0.144444,53.404657,0.121780
46,0.144444,59.046209,0.034900
46,0.144444,64.687761,0.007180
46,0.144444,70.329314,0.001330
46,0.144444,75.970866,0.000180
46,0.188889,22.038467,0.003530
46,0.188889,30.322992,0.104060
46,0.188889,38.607517,0.352930
46,0.188889,46.892041,0.339640
46,0.188889,55.176566,0.148540
46,0.188889,63.461091,0.041300
46,0.188889,71.745615,0.008400
46,0.188889,80.030140,0.001350
46,0.188889,88.314664,0.000170
46,0.188889,96.599189,0.000080
46,0.233333,19.958063,0.011580
46,0.233333,30.771039,0.212770
46,0.233333,41.584016,0.416960
46,0.233333,52.396992,0.252790
46,0.233333,63.209968,0.082460
46,0.233333,74.022944,0.019050
46,0.233333,84.835921,0.003520
46,0.233333,95.648897,0.000730
46,0.233333,106.461873,0.000110
46,0.233333,117.274849,0.000030
46,0.277778,18.877921,0.025770
46,0.277778,30.795707,0.267390
46,0.277778,42.713494,0.387650
46,0.277778,54.631281,0.215530
46,0.277778,66.549068,0.074920
46,0.277778,78.466855,0.021410
46,0.277778,90.384642,0.005790
46,0.277778,102.302428,0.001170
46,0.277778,114.220215,0.000260
46,0.277778,126.138002,0.000110
46,0.322222,18.166282,0.066040
46,0.322222,33.696568,0.411220
46,0.322222,49.226855,0.348070
46,0.322222,64.757141,0.129630
46,0.322222,80.287428,0.034190
46,0.322222,95.817714,0.008370
46,0.322222,111.348001,0.001870
46,0.322222,126.878287,0.000460
46,0.322222,142.408574,0.000090
46,0.322222,157.938860,0.000060
46,0.366667,19.529729,0.197050
46,0.366667,41.355999,0.538470
46,0.366667,63.182268,0.208080
46,0.366667,85.008538,0.044510
46,0.366667,106.834807,0.009520
46,0.366667,128.661076,0.001970
46,0.366667,150.487346,0.000320
46,0.366667,172.313615,0.000060
46,0.366667,194.139884,0.000010
46,0.366667,215.966154,0.000010
46,0.411111,19.679949,0.300680
46,0.411111,46.227121,0.520510
46,0.411111,72.774293,0.144150
46,0.411111,99.321464,0.028200
46,0.411111,125.868636,0.005090
46,0.411111,152.415807,0.001050
46,0.411111,178.962979,0.000270
46,0.411111,205.510151,0.000030
46,0.411111,232.057322,0.000010
46,0.411111,258.604494,0.000010
46,0.455556,22.119471,0.475020
46,0.455556,55.485754,0.428120
46,0.455556,88.852036,0.080350
46,0.455556,122.218318,0.013450
46,0.455556,155.584601,0.002460
46,0.455556,188.950883,0.000490
46,0.455556,222.317165,0.000080
46,0.455556,255.683448,0.000020
46,0.455556,289.049730,0.000000
46,0.455556,322.416012,0.000010
46,0.500000,25.598157,0.633330
46,0.500000,67.586840,0.314280
46,0.500000,109.575522,0.044190
46,0.500000,151.564204,0.006680
46,0.500000,193.552886,0.001080
46,0.500000,235.541568,0.000330
46,0.500000,277.530251,0.000070
46,0.500000,319.518933,0.000020
46,0.500000,361.507615,0.000010
46,0.500000,403.496297,0.000010
78,0.100000,51.098026,0.001060
78,0.100000,57.979571,0.028170
78,0.100000,64.861117,0.176830
78,0.100000,71.742662,0.349740
78,0.100000,78.624207,0.288990
78,0.100000,85.505752,0.120950
78,0.100000,92.387297,0.029110
78,0.100000,99.268843,0.004660
78,0.100000,106.150388,0.000440
78,0.100000,113.031933,0.000050
78,0.144444,43.902420,0.001870
78,0.144444,53.243149,0.046330
78,0.144444,62.583878,0.215270
78,0.144444,71.924608,0.341660
78,0.144444,81.265337,0.249450
78,0.144444,90.606066,0.107130
78,0.144444,99.946796,0.030530
78,0.144444,109.287525,0.006470
78,0.144444,118.628254,0.001210
78,0.144444,127.968984,0.000080
78,0.188889,38.326064,0.005480
78,0.188889,51.795737,0.112920
78,0.188889,65.265410,0.346220
78,0.188889,78.735083,0.330120
78,0.188889,92.204755,0.149580
78,0.188889,105.674428,0.043830
78,0.188889,119.144101,0.009890
78,0.188889,132.613774,0.001640
78,0.188889,146.083447,0.000260
78,0.188889,159.553119,0.000060
78,0.233333,35.318452,0.016640
78,0.233333,52.442998,0.214800
78,0.233333,69.567544,0.395340
78,0.233333,86.692090,0.251680
78,0.233333,103.816635,0.091580
78,0.233333,120.941181,0.023860
78,0.233333,138.065727,0.004810
78,0.233333,155.190273,0.001120
78,0.233333,172.314818,0.000150
78,0.233333,189.439364,0.000020
78,0.277778,32.941929,0.045680
78,0.277778,56.718025,0.394020
78,0.277778,80.494121,0.380830
78,0.277778,104.270217,0.137670
78,0.277778,128.046314,0.033550
78,0.277778,151.822410,0.006660
78,0.277778,175.598506,0.001310
78,0.277778,199.374602,0.000210
78,0.277778,223.150698,0.000050
78,0.277778,246.926794,0.000020
78,0.322222,29.723432,0.068030
78,0.322222,57.961559,0.455750
78,0.322222,86.199687,0.338790
78,0.322222,114.437815,0.105300
78,0.322222,142.675943,0.025700
78,0.322222,170.914071,0.005090
78,0.322222,199.152199,0.001060
78,0.322222,227.390327,0.000230
78,0.322222,255.628454,0.000030
78,0.322222,283.866582,0.000020
78,0.366667,32.069954,0.184060
78,0.366667,68.136886,0.534220
78,0.366667,104.203819,0.218480
78,0.366667,140.270751,0.050740
78,0.366667,176.337683,0.009820
78,0.366667,212.404616,0.002170
78,0.366667,248.471548,0.000440
78,0.366667,284.538481,0.000050
78,0.366667,320.605413,0.000010
78,0.366667,356.672346,0.000010
78,0.411111,28.762394,0.178630
78,0.411111,65.416452,0.507800
78,0.411111,102.070510,0.227710
78,0.411111,138.724569,0.063300
78,0.411111,175.378627,0.016920
78,0.411111,212.032685,0.004040
78,0.411111,248.686744,0.001050
78,0.411111,285.340802,0.000380
78,0.411111,321.994860,0.000110
78,0.411111,358.648919,0.000060
78,0.455556,33.366528,0.367630
78,0.455556,81.656650,0.471580
78,0.455556,129.946771,0.127240
78,0.455556,178.236893,0.025820
78,0.455556,226.527015,0.005630
78,0.455556,274.817137,0.001450
78,0.455556,323.107259,0.000420
78,0.455556,371.397380,0.000170
78,0.455556,419.687502,0.000030
78,0.455556,467.977624,0.000030
78,0.500000,32.475431,0.390190
78,0.500000,81.679457,0.442630
78,0.500000,130.883483,0.125500
78,0.500000,180.087509,0.030290
78,0.500000,229.291535,0.007740
78,0.500000,278.495561,0.002440
78,0.500000,327.699587,0.000780
78,0.500000,376.903613,0.000270
78,0.500000,426.107639,0.000110
78,0.500000,475.311664,0.000050
110,0.100000,72.853414,0.001650
110,0.100000,82.234657,0.033420
110,0.100000,91.615899,0.182560
110,0.100000,100.997142,0.343700
110,0.100000,110.378385,0.280720
110,0.100000,119.759627,0.120580
110,0.100000,129.140870,0.031070
110,0.100000,138.522113,0.005510
110,0.100000,147.903355,0.000750
110,0.100000,157.284598,0.000040
110,0.144444,60.947581,0.002760
110,0.144444,77.453455,0.092620
110,0.144444,93.959330,0.370110
110,0.144444,110.465205,0.361760
110,0.144444,126.971080,0.139610
110,0.144444,143.476955,0.029230
110,0.144444,159.982830,0.003600
110,0.144444,176.488705,0.000280
110,0.144444,192.994580,0.000020
110,0.144444,209.500455,0.000010
110,0.188889,57.973709,0.012360
110,0.188889,76.638318,0.160080
110,0.188889,95.302927,0.366130
110,0.188889,113.967536,0.294980
110,0.188889,132.632145,0.123320
110,0.188889,151.296754,0.034350
110,0.188889,169.961364,0.007170
110,0.188889,188.625973,0.001370
110,0.188889,207.290582,0.000230
110,0.188889,225.955191,0.000010
110,0.233333,44.469933,0.004850
110,0.233333,66.783986,0.123200
110,0.233333,89.098038,0.347410
110,0.233333,111.412090,0.312340
110,0.233333,133.726143,0.147340
110,0.233333,156.040195,0.048280
110,0.233333,178.354247,0.012800
110,0.233333,200.668299,0.003030
110,0.233333,222.982352,0.000620
110,0.233333,245.296404,0.000130
110,0.277778,43.786952,0.027800
110,0.277778,74.473243,0.314680
110,0.277778,105.159534,0.398150
110,0.277778,135.845826,0.186930
110,0.277778,166.532117,0.055890
110,0.277778,197.218408,0.013030
110,0.277778,227.904699,0.002750
110,0.277778,258.590990,0.000630
110,0.277778,289.277281,0.000110
110,0.277778,319.963572,0.000030
110,0.322222,42.942304,0.072700
110,0.322222,81.451254,0.442060
110,0.322222,119.960204,0.338530
110,0.322222,158.469154,0.110850
110,0.322222,196.978104,0.027680
110,0.322222,235.487054,0.006350
110,0.322222,273.996004,0.001420
110,0.322222,312.504954,0.000320
110,0.322222,351.013904,0.000050
110,0.322222,389.522854,0.000040
110,0.366667,41.346562,0.119060
110,0.366667,85.641502,0.484320
110,0.366667,129.936442,0.282090
110,0.366667,174.231382,0.085590
110,0.366667,218.526322,0.021820
110,0.366667,262.821262,0.005370
110,0.366667,307.116202,0.001200
110,0.366667,351.411142,0.000410
110,0.366667,395.706082,0.000100
110,0.366667,440.001022,0.000040
110,0.411111,45.990695,0.293380
110,0.411111,107.642539,0.518370
110,0.411111,169.294384,0.151270
110,0.411111,230.946228,0.029690
110,0.411111,292.598072,0.005520
110,0.411111,354.249916,0.001390
110,0.411111,415.901760,0.000320
110,0.411111,477.553605,0.000040
110,0.411111,539.205449,0.000010
110,0.411111,600.857293,0.000010
110,0.455556,47.840094,0.360080
110,0.455556,112.387198,0.466690
110,0.455556,176.934301,0.132550
110,0.455556,241.481405,0.031120
110,0.455556,306.028509,0.006860
110,0.455556,370.575612,0.001830
110,0.455556,435.122716,0.000580
110,0.455556,499.669820,0.000190
110,0.455556,564.216923,0.000070
110,0.455556,628.764027,0.000030
110,0.500000,46.555679,0.397600
110,0.500000,116.222732,0.439130
110,0.500000,185.889784,0.122750
110,0.500000,255.556836,0.029500
110,0.500000,325.223889,0.007800
110,0.500000,394.890941,0.002070
110,0.500000,464.557994,0.000770
110,0.500000,534.225046,0.000280
110,0.500000,603.892098,0.000060
110,0.500000,673.559151,0.000040
141,0.100000,97.131345,0.003880
141,0.100000,108.712792,0.053180
141,0.100000,120.294240,0.211350
141,0.100000,131.875687,0.335160
141,0.100000,143.457134,0.255170
141,0.100000,155.038581,0.106710
141,0.100000,166.620029,0.028710
141,0.100000,178.201476,0.005130
141,0.100000,189.782923,0.000650
141,0.100000,201.364370,0.000060
141,0.144444,81.945306,0.003150
141,0.144444,98.705431,0.062720
141,0.144444,115.465556,0.240450
141,0.144444,132.225681,0.337760
141,0.144444,148.985805,0.231470
141,0.144444,165.745930,0.092240
141,0.144444,182.506055,0.026260
141,0.144444,199.266180,0.005060
141,0.144444,216.026305,0.000770
141,0.144444,232.786430,0.000120
141,0.188889,66.505434,0.002650
141,0.188889,89.735108,0.076420
141,0.188889,112.964782,0.294860
141,0.188889,136.194456,0.344620
141,0.188889,159.424130,0.194010
141,0.188889,182.653804,0.066310
141,0.188889,205.883478,0.016790
141,0.188889,229.113152,0.003610
141,0.188889,252.342826,0.000670
141,0.188889,275.572500,0.000060
141,0.233333,62.987940,0.013760
141,0.233333,93.553614,0.196950
141,0.233333,124.119288,0.395010
141,0.233333,154.684961,0.261970
141,0.233333,185.250635,0.097840
141,0.233333,215.816309,0.027360
141,0.233333,246.381983,0.005810
141,0.233333,276.947657,0.001100
141,0.233333,307.513331,0.000160
141,0.233333,338.079005,0.000040
141,0.277778,55.827655,0.019830
141,0.277778,90.548247,0.234520
141,0.277778,125.268840,0.379130
141,0.277778,159.989432,0.237260
141,0.277778,194.710024,0.091030
141,0.277778,229.430616,0.028200
141,0.277778,264.151208,0.007350
141,0.277778,298.871800,0.002010
141,0.277778,333.592392,0.000540
141,0.277778,368.312984,0.000130
141,0.322222,50.633118,0.055400
141,0.322222,102.835336,0.455810
141,0.322222,155.037554,0.349660
141,0.322222,207.239772,0.108850
141,0.322222,259.441990,0.024330
141,0.322222,311.644208,0.004550
141,0.322222,363.846426,0.001130
141,0.322222,416.048644,0.000160
141,0.322222,468.250862,0.000070
141,0.322222,520.453080,0.000040
141,0.366667,54.376213,0.126070
141,0.366667,110.902261,0.478300
141,0.366667,167.428309,0.279710
141,0.366667,223.954356,0.086720
141,0.366667,280.480404,0.022350
141,0.366667,337.006452,0.005050
141,0.366667,393.532500,0.001260
141,0.366667,450.058548,0.000320
141,0.366667,506.584596,0.000180
141,0.366667,563.110644,0.000040
141,0.411111,64.696824,0.418650
141,0.411111,163.113498,0.486490
141,0.411111,261.530173,0.081830
141,0.411111,359.946847,0.011260
141,0.411111,458.363522,0.001540
141,0.411111,556.780196,0.000200
141,0.411111,655.196870,0.000020
141,0.411111,753.613545,0.000000
141,0.411111,852.030219,0.000000
141,0.411111,950.446894,0.000010
141,0.455556,61.080029,0.370020
141,0.455556,147.808184,0.471120
141,0.455556,234.536339,0.125340
141,0.455556,321.264495,0.026390
141,0.455556,407.992650,0.005390
141,0.455556,494.720806,0.001240
141,0.455556,581.448961,0.000310
141,0.455556,668.177116,0.000120
141,0.455556,754.905272,0.000040
141,0.455556,841.633427,0.000030
141,0.500000,59.442272,0.420210
141,0.500000,155.976555,0.440680
141,0.500000,252.510838,0.107700
141,0.500000,349.045122,0.023690
141,0.500000,445.579405,0.005580
141,0.500000,542.113688,0.001460
141,0.500000,638.647971,0.000420
141,0.500000,735.182255,0.000190
141,0.500000,831.716538,0.000040
141,0.500000,928.250821,0.000030
173,0.100000,107.900166,0.000370
173,0.100000,123.774029,0.013830
173,0.100000,139.647891,0.131580
173,0.100000,155.521754,0.338670
173,0.100000,171.395616,0.328450
173,0.100000,187.269479,0.146120
173,0.100000,203.143341,0.034820
173,0.100000,219.017204,0.005560
173,0.100000,234.891067,0.000560
173,0.100000,250.764929,0.000040
173,0.144444,101.775899,0.004880
173,0.144444,123.151979,0.078510
173,0.144444,144.528060,0.279670
173,0.144444,165.904140,0.344110
173,0.144444,187.280221,0.202080
173,0.144444,208.656302,0.069640
173,0.144444,230.032382,0.017510
173,0.144444,251.408463,0.002960
173,0.144444,272.784543,0.000540
173,0.144444,294.160624,0.000100
173,0.188889,87.845455,0.007250
173,0.188889,115.944790,0.115250
173,0.188889,144.044125,0.326640
173,0.188889,172.143460,0.320310
173,0.188889,200.242795,0.160330
173,0.188889,228.342130,0.053030
173,0.188889,256.441465,0.013700
173,0.188889,284.540800,0.002860
173,0.188889,312.640135,0.000520
173,0.188889,340.739470,0.000110
173,0.233333,76.203036,0.013160
173,0.233333,114.560945,0.204710
173,0.233333,152.918854,0.400130
173,0.233333,191.276763,0.259460
173,0.233333,229.634672,0.092380
173,0.233333,267.992581,0.023950
173,0.233333,306.350490,0.004910
173,0.233333,344.708399,0.001130
173,0.233333,383.066308,0.000160
173,0.233333,421.424217,0.000010
173,0.277778,71.481341,0.035020
173,0.277778,119.723843,0.327620
173,0.277778,167.966345,0.391980
173,0.277778,216.208847,0.177250
173,0.277778,264.451349,0.052790
173,0.277778,312.693851,0.011990
173,0.277778,360.936353,0.002710
173,0.277778,409.178854,0.000480
173,0.277778,457.421356,0.000120
173,0.277778,505.663858,0.000040
173,0.322222,66.702000,0.075100
173,0.322222,130.241504,0.466950
173,0.322222,193.781008,0.330330
173,0.322222,257.320512,0.099100
173,0.322222,320.860016,0.022780
173,0.322222,384.399520,0.004680
173,0.322222,447.939024,0.000830
173,0.322222,511.478528,0.000180
173,0.322222,575.018032,0.000040
173,0.322222,638.557536,0.000010
173,0.366667,71.159593,0.191330
173,0.366667,152.828072,0.541800
173,0.366667,234.496551,0.208860
173,0.366667,316.165030,0.046650
173,0.366667,397.833509,0.009240
173,0.366667,479.501988,0.001780
173,0.366667,561.170468,0.000240
173,0.366667,642.838947,0.000040
173,0.366667,724.507426,0.000040
173,0.366667,806.175905,0.000020
173,0.411111,64.181591,0.194830
173,0.411111,149.472902,0.521080
173,0.411111,234.764213,0.212880
173,0.411111,320.055523,0.054320
173,0.411111,405.346834,0.012760
173,0.411111,490.638145,0.002930
173,0.411111,575.929455,0.000850
173,0.411111,661.220766,0.000200
173,0.411111,746.512077,0.000100
173,0.411111,831.803387,0.000050
173,0.455556,79.286998,0.424240
173,0.455556,192.888974,0.449220
173,0.455556,306.490950,0.101830
173,0.455556,420.092926,0.019520
173,0.455556,533.694901,0.003930
173,0.455556,647.296877,0.001010
173,0.455556,760.898853,0.000170
173,0.455556,874.500829,0.000070
173,0.455556,988.102805,0.000000
173,0.455556,1101.704781,0.000010
