Date,AAPL,MSFT,GOOG,GOOGL,AMZN,TSLA,BRK-B,UNH,JNJ,XOM,WMT,NVDA,JPM,META,PG,V,CVX,MA,LLY,HD,BAC,KO,ABBV,PFE,PEP,COST,MRK,TMO,DHR,AVGO,DIS,MCD,ORCL,ACN,ABT,TMUS,CSCO,VZ,NEE,WFC,PM,TXN,BMY,MS,CRM,CMCSA,COP,QCOM,LIN,ADBE,SCHW,UNP,CVS,UPS,NKE,RTX,AMD,AMGN,HON,LOW,INTC,T,INTU,MDT,IBM,ELV,SPGI,AXP,LMT,GS,AMT,DE,PYPL,NFLX,SBUX,ADP,BLK,CAT,C,CI,BA,MDLZ,NOW,SO,PLD,SYK,DUK,GILD,MO,MMC,ADI,NOC,CB,AMAT,REGN,TGT,TJX,VRTX,BKNG,GE
2021-09-27,144.55995178222656,291.7267761230469,141.50100708007812,141.07200622558594,170.2899932861328,263.78668212890625,279.7200012207031,400.0740661621094,158.9775848388672,56.73402404785156,140.0127410888672,216.426513671875,160.9012908935547,353.5799865722656,138.3517608642578,227.98423767089844,99.01425170898438,354.2442626953125,223.24557495117188,333.6661682128906,42.319114685058594,52.03527069091797,103.4809799194336,42.19085693359375,148.66371154785156,457.5846862792969,70.87376403808594,593.4315185546875,314.6845397949219,490.0654296875,178.25999450683594,242.69618225097656,89.63551330566406,330.4942321777344,118.69131469726562,127.77999877929688,54.143272399902344,51.03694534301758,77.16492462158203,46.58823013305664,95.97364807128906,195.17259216308594,57.56832504272461,101.80753326416016,279.67999267578125,54.59592056274414,63.60036849975586,130.99635314941406,304.55999755859375,603.6500244140625,76.56597900390625,199.69154357910156,83.86656188964844,181.64903259277344,146.65232849121094,85.34070587158203,108.16000366210938,206.2759552001953,213.60638427734375,207.159912109375,52.91542053222656,18.774110794067383,562.856689453125,125.205810546875,126.03031921386719,384.2987365722656,441.6392517089844,174.73838806152344,343.62274169921875,390.0292663574219,269.6881103515625,347.0021057128906,273.3900146484375,592.6400146484375,111.19965362548828,198.0282440185547,853.157958984375,195.6339569091797,69.7657470703125,202.92800903320312,224.16000366210938,57.760643005371094,649.5599975585938,60.06665802001953,123.37097930908203,269.5772705078125,94.00555419921875,67.21307373046875,45.10700607299805,153.85218811035156,173.73023986816406,351.7002868652344,175.52584838867188,141.5445098876953,619.0700073242188,234.3013153076172,69.91259002685547,183.41000366210938,2476.52001953125,104.90776824951172
2021-09-28,141.11923217773438,281.16522216796875,136.1840057373047,135.8300018310547,165.79800415039062,259.1866760253906,276.7900085449219,393.50933837890625,158.62686157226562,57.32719802856445,138.290283203125,206.82421875,160.03404235839844,340.6499938964844,137.30673217773438,223.97265625,99.38926696777344,348.69384765625,218.512451171875,326.2287902832031,42.22129440307617,51.09376525878906,103.11592864990234,41.677635192871094,147.03807067871094,444.4599914550781,70.83512115478516,575.2494506835938,302.6847229003906,476.64044189453125,174.52000427246094,238.45086669921875,89.093994140625,320.3178405761719,116.88011932373047,126.30999755859375,53.46912384033203,50.746482849121094,75.7051010131836,44.98173522949219,93.28191375732422,189.87265014648438,57.56832504272461,98.8434066772461,272.2799987792969,53.102264404296875,64.63956451416016,127.48297882080078,295.4195556640625,578.77001953125,75.37860107421875,196.9109649658203,83.78831481933594,181.57127380371094,143.93804931640625,84.85215759277344,101.5199966430664,205.46290588378906,210.73411560058594,202.04556274414062,52.2764892578125,18.66448211669922,541.0177612304688,122.53150939941406,125.03887176513672,381.5486145019531,422.57855224609375,171.15011596679688,342.4460754394531,379.97149658203125,264.4241943359375,348.4987487792969,262.19000244140625,583.8499755859375,109.27264404296875,193.66949462890625,838.6377563476562,196.17196655273438,68.90647888183594,199.6573486328125,218.41000366210938,57.01277160644531,612.52001953125,59.58565902709961,122.77461242675781,264.00787353515625,93.44708251953125,66.79305267333984,44.67203903198242,150.60948181152344,168.2112274169922,352.77349853515625,172.61404418945312,131.7770233154297,605.0,229.25352478027344,68.87088775634766,181.60000610351562,2432.75,105.28618621826172
2021-09-29,142.03411865234375,281.6412658691406,134.52099609375,134.35350036621094,165.05599975585938,260.4366760253906,277.2900085449219,395.2763977050781,159.80577087402344,57.2889289855957,138.23123168945312,205.0056610107422,159.9087677001953,339.6099853515625,138.70335388183594,225.0847625732422,99.36040496826172,350.68963623046875,227.150390625,329.2878112792969,42.13325119018555,51.40435791015625,104.55690002441406,42.15211868286133,148.25485229492188,448.8713684082031,72.54513549804688,578.3929443359375,305.54473876953125,475.1455383300781,172.67999267578125,238.94973754882812,89.84227752685547,319.6460266113281,117.5888442993164,128.10000610351562,53.430606842041016,50.95261764526367,76.76322937011719,46.06905746459961,94.29605102539062,188.09950256347656,58.3187141418457,96.43141174316406,270.5,54.24674987792969,64.86837768554688,126.87452697753906,294.6414489746094,577.7000122070312,74.58702087402344,197.45925903320312,84.89362335205078,179.60739135742188,144.65130615234375,84.99873352050781,100.3499984741211,208.008544921875,210.68508911132812,203.68807983398438,51.78276824951172,18.774110794067383,542.9237060546875,123.09554290771484,126.59423828125,384.615234375,423.0843200683594,169.56849670410156,340.6373596191406,375.47430419921875,265.6639404296875,346.50384521484375,259.0,599.0599975585938,109.72259521484375,195.92742919921875,834.7398071289062,193.5504608154297,69.0609359741211,200.29576110839844,225.36000061035156,57.69672775268555,618.02001953125,60.25905227661133,123.61539459228516,264.689697265625,94.68919372558594,67.7190170288086,45.10700607299805,151.79844665527344,165.80526733398438,357.3813171386719,173.51905822753906,127.19570922851562,606.7000122070312,231.6202850341797,68.69400024414062,182.22000122070312,2377.820068359375,105.83386993408203
2021-09-30,140.71151733398438,279.5785217285156,133.2655029296875,133.67599487304688,164.2519989013672,258.49334716796875,272.94000244140625,385.7303771972656,157.35052490234375,56.2747917175293,137.18788146972656,206.99407958984375,157.73104858398438,339.3900146484375,136.5352020263672,221.18243408203125,97.5526351928711,345.2185974121094,227.83078002929688,320.8144226074219,41.526737213134766,50.92875671386719,103.62508392333984,41.648582458496094,146.41505432128906,446.44708251953125,72.564453125,570.14013671875,303.3822937011719,470.7287902832031,169.1699981689453,235.8489227294922,85.78582000732422,316.0793762207031,116.27967834472656,127.76000213623047,52.41939163208008,50.605934143066406,76.9297866821289,45.46172332763672,89.84142303466797,187.26162719726562,57.387630462646484,94.2615737915039,271.2200012207031,54.24674987792969,64.6109619140625,126.58009338378906,288.9680480957031,575.719970703125,72.07373809814453,191.9079132080078,83.00579071044922,177.04075622558594,143.86868286132812,83.9923095703125,102.9000015258789,205.83070373535156,208.0971221923828,199.51791381835938,51.579463958740234,18.506887435913086,535.5581665039062,121.89939880371094,126.36686706542969,368.7874450683594,421.3686828613281,165.60458374023438,335.59039306640625,368.7820739746094,261.137939453125,330.9004821777344,260.2099914550781,610.3400268554688,107.90318298339844,196.2611846923828,817.2861328125,187.77926635742188,67.7575454711914,196.59295654296875,219.94000244140625,56.8466682434082,622.27001953125,59.614524841308594,122.62796783447266,260.5694580078125,93.967041015625,66.67850494384766,42.12701416015625,148.8013916015625,164.46971130371094,354.5949401855469,170.6564178466797,127.65184020996094,605.1799926757812,224.66725158691406,64.84162902832031,181.38999938964844,2373.8701171875,102.59750366210938
2021-10-01,141.8551025390625,286.6988830566406,136.46249389648438,136.54299926757812,164.16299438476562,258.40667724609375,275.7099914550781,387.3987121582031,156.3469696044922,58.29349136352539,134.89454650878906,207.2538604736328,161.04583740234375,343.010009765625,136.3203125,228.83819580078125,100.32200622558594,357.630126953125,226.39112854003906,322.3781433105469,42.14303207397461,51.46260070800781,104.79706573486328,41.57111358642578,146.94070434570312,445.4336853027344,78.64128875732422,571.5272216796875,301.2696228027344,473.0779113769531,176.00999450683594,237.6291961669922,88.35556030273438,320.9600524902344,115.37409210205078,126.76000213623047,53.1031608581543,50.877655029296875,77.60581970214844,46.059261322021484,91.06407928466797,188.80093383789062,57.71738815307617,95.94706726074219,275.260009765625,55.488224029541016,66.83234405517578,126.31513214111328,293.370849609375,577.469970703125,73.63711547851562,197.51800537109375,82.2330551147461,176.44769287109375,145.6815185546875,85.4775161743164,102.44999694824219,207.05996704101562,211.4006805419922,200.34408569335938,52.14095687866211,18.609664916992188,539.9854125976562,123.80545043945312,130.35987854003906,371.8837585449219,424.8099060058594,171.94093322753906,338.2159729003906,370.7038879394531,262.3186340332031,337.9417724609375,264.6499938964844,613.1500244140625,110.45623779296875,198.30311584472656,820.4338989257812,190.08775329589844,68.72303009033203,198.98947143554688,226.0,56.875980377197266,632.7999877929688,59.40288162231445,123.60562133789062,265.0157165527344,94.80473327636719,65.44707489013672,42.441680908203125,151.4545440673828,164.3616943359375,355.35308837890625,172.5550079345703,128.0485076904297,570.7899780273438,224.32354736328125,65.46074676513672,180.35000610351562,2455.8701171875,105.37580108642578
2021-10-04,138.36465454101562,280.75860595703125,133.76499938964844,133.6595001220703,159.48899841308594,260.510009765625,273.6400146484375,382.0482177734375,155.12908935546875,59.04930877685547,133.59527587890625,197.16195678710938,160.87237548828125,326.2300109863281,135.5487823486328,223.1485137939453,100.69701385498047,341.7632751464844,221.71717834472656,319.0650634765625,42.397377014160156,51.43347930908203,104.45124053955078,41.0772590637207,146.21063232421875,437.29656982421875,80.2836685180664,567.8150024414062,297.53265380859375,462.01177978515625,173.4600067138672,237.7759246826172,87.88296508789062,315.6545104980469,113.72040557861328,125.45999908447266,52.57959747314453,51.0650520324707,77.75277709960938,46.059261322021484,91.16832733154297,185.49822998046875,57.15486145019531,94.1065902709961,270.8599853515625,55.071170806884766,68.15753936767578,124.32289123535156,290.2189636230469,558.489990234375,72.45964050292969,201.20907592773438,81.9787368774414,173.46298217773438,145.76077270507812,85.68270874023438,100.33999633789062,204.65951538085938,209.9890899658203,201.14073181152344,51.76341247558594,18.671337127685547,521.5017700195312,121.60765838623047,131.0784454345703,366.2154541015625,412.4035949707031,170.67564392089844,336.4558410644531,364.99700927734375,260.9608459472656,334.228515625,255.00999450683594,603.3499755859375,109.02809143066406,196.3102569580078,804.52001953125,188.91395568847656,68.8292236328125,195.89559936523438,223.7899932861328,56.73918914794922,617.969970703125,60.057037353515625,123.99669647216797,259.2059631347656,97.01935577392578,64.49247741699219,43.03396987915039,149.1060333251953,161.30760192871094,360.0298156738281,170.78431701660156,124.15140533447266,555.4199829101562,221.83889770507812,64.72370147705078,177.39999389648438,2459.52001953125,104.45966339111328
2021-10-05,140.32366943359375,286.3617248535156,136.177001953125,136.0229949951172,161.0500030517578,260.1966552734375,278.04998779296875,388.3858947753906,155.47982788085938,58.953636169433594,134.4712677001953,204.34617614746094,163.49948120117188,332.9599914550781,136.07615661621094,222.70167541503906,101.79322052001953,340.7802734375,227.7124481201172,322.0068054199219,43.25823974609375,51.52083969116211,105.2005386352539,40.98042297363281,147.07699584960938,443.357177734375,78.83450317382812,570.6890258789062,298.4793395996094,471.2044677734375,174.61000061035156,239.86923217773438,90.07856750488281,321.2169494628906,114.06491088867188,125.4000015258789,53.025596618652344,51.07441711425781,77.87034606933594,46.98004913330078,91.3578872680664,188.88864135742188,57.36823654174805,96.09236145019531,271.7699890136719,55.324459075927734,68.38636779785156,125.15708923339844,293.35113525390625,566.7000122070312,75.10155487060547,205.57577514648438,81.81244659423828,174.67823791503906,148.0590362548828,86.68913269042969,101.80999755859375,205.06605529785156,211.46932983398438,200.90469360351562,52.228084564208984,18.739852905273438,529.4431762695312,122.3370132446289,130.20526123046875,369.5293884277344,421.606689453125,172.75149536132812,338.1673278808594,376.37176513671875,260.2917785644531,334.08038330078125,260.1499938964844,634.8099975585938,108.431396484375,200.03089904785156,817.4031372070312,188.2976837158203,70.02642059326172,197.81085205078125,224.4199981689453,57.48177719116211,633.4199829101562,59.70110321044922,123.60562133789062,259.3541564941406,96.45125579833984,64.3397445678711,42.72856521606445,151.857421875,162.3976287841797,364.17486572265625,172.2992401123047,126.99739074707031,550.9000244140625,223.47897338867188,63.986637115478516,177.00999450683594,2432.340087890625,104.45966339111328
2021-10-06,141.208740234375,290.6755676269531,137.35400390625,137.56500244140625,163.10049438476562,260.9166564941406,280.2200012207031,389.1953430175781,155.80136108398438,57.872535705566406,135.45556640625,206.8341827392578,163.84844970703125,333.6400146484375,137.89271545410156,224.9159698486328,100.8989486694336,346.22149658203125,224.67538452148438,322.8668212890625,43.277809143066406,52.132328033447266,105.01801300048828,40.689918518066406,150.84420776367188,446.4371643066406,77.9263687133789,574.4012451171875,299.5556335449219,474.4660339355469,175.47999572753906,241.70822143554688,89.93089294433594,321.2861022949219,114.66535949707031,124.5999984741211,52.298423767089844,51.093162536621094,79.53591918945312,46.89189529418945,91.59484100341797,189.38551330566406,57.40702819824219,95.99549865722656,275.2699890136719,55.43162155151367,68.46263122558594,125.67721557617188,291.597900390625,570.3099975585938,74.9135513305664,207.9940643310547,81.3331527709961,175.6796417236328,147.4052276611328,87.2265396118164,103.63999938964844,203.24632263183594,212.58685302734375,200.63912963867188,52.25712585449219,18.712446212768555,530.6940307617188,122.61903381347656,129.4866943359375,366.09674072265625,424.21490478515625,171.40711975097656,340.3455810546875,378.55694580078125,263.64691162109375,334.1889953613281,264.05999755859375,639.0999755859375,109.20416259765625,201.2384033203125,816.2044677734375,187.6716766357422,69.92021942138672,199.6278839111328,224.99000549316406,58.820377349853516,629.3599853515625,60.34563446044922,124.93524169921875,260.5694580078125,98.06888580322266,64.4161148071289,42.987693786621094,152.5550994873047,163.0654296875,371.5001220703125,173.84368896484375,125.46035766601562,546.5700073242188,222.7620391845703,63.220088958740234,180.91000366210938,2448.199951171875,103.89205169677734
2021-10-07,142.4915313720703,292.4011535644531,139.1855010986328,139.22500610351562,165.1215057373047,264.53668212890625,282.95001220703125,399.5113830566406,157.19461059570312,58.03517532348633,137.0500946044922,210.58119201660156,164.88568115234375,329.2200012207031,138.99635314941406,228.92755126953125,101.62013244628906,351.8485107421875,229.93109130859375,329.8253173828125,43.16041564941406,52.297340393066406,106.50702667236328,41.38712692260742,152.23622131347656,449.9443664550781,79.1629867553711,582.2947998046875,301.55859375,479.45550537109375,177.7100067138672,242.90159606933594,90.88591766357422,322.3333740234375,116.0631332397461,123.18000030517578,53.34555435180664,51.102638244628906,79.28118896484375,46.78413772583008,90.65652465820312,190.28182983398438,57.232444763183594,95.70490264892578,274.5799865722656,55.91872024536133,68.17662811279297,125.4613037109375,294.6611633300781,578.9600219726562,75.58639526367188,207.44580078125,82.3602066040039,176.5546417236328,150.42662048339844,88.0864028930664,106.44999694824219,202.41392517089844,214.06710815429688,204.47486877441406,52.450740814208984,19.0417423248291,534.4708862304688,123.33866882324219,128.98641967773438,376.5628662109375,429.2131042480469,172.71519470214844,342.0863342285156,381.0640869140625,261.82672119140625,339.8082275390625,263.5400085449219,631.8499755859375,109.76172637939453,203.77120971679688,820.882080078125,191.47674560546875,69.69817352294922,201.06187438964844,226.47999572753906,58.517478942871094,637.9199829101562,60.28791046142578,126.48973083496094,262.78271484375,97.21192932128906,65.046142578125,43.01545715332031,154.41378784179688,163.97869873046875,376.7971496582031,175.41766357421875,126.80896759033203,552.02001953125,225.6984405517578,63.85888671875,180.02000427246094,2469.0,105.06710815429688
2021-10-08,142.10369873046875,292.4011535644531,140.05599975585938,139.78550720214844,164.43099975585938,261.8299865722656,284.1400146484375,403.2231750488281,156.79513549804688,59.48940658569336,137.46348571777344,208.14315795898438,165.01170349121094,330.04998779296875,138.4201202392578,228.64952087402344,103.89908599853516,352.89239501953125,230.68052673339844,326.75653076171875,43.37562942504883,52.5302848815918,106.80482482910156,41.1063117980957,151.88577270507812,448.93096923828125,77.89737701416016,582.7039184570312,298.72845458984375,478.4168395996094,176.74000549316406,242.29510498046875,93.25711822509766,321.2861022949219,116.53560638427734,121.22000122070312,53.40373229980469,50.476898193359375,78.58555603027344,47.01923751831055,90.37217712402344,190.21365356445312,55.53516387939453,96.90605926513672,272.4800109863281,53.288394927978516,71.42766571044922,124.19532012939453,291.7358093261719,576.8599853515625,76.52639770507812,211.94952392578125,82.52650451660156,178.3921356201172,151.0507354736328,88.54563903808594,105.05999755859375,202.24935913085938,213.41030883789062,202.76356506347656,52.09255599975586,18.816808700561523,527.9010620117188,121.82160186767578,130.26889038085938,382.0135803222656,426.1586608886719,173.56741333007812,344.00201416015625,383.2005310058594,257.8615417480469,338.8996887207031,260.05999755859375,632.6599731445312,108.79331970214844,202.38699340820312,822.8799438476562,190.89962768554688,69.8526382446289,201.5234832763672,226.38999938964844,58.175498962402344,617.5800170898438,60.18209457397461,125.65870666503906,260.52996826171875,96.79788208007812,64.96024322509766,43.246826171875,154.4729461669922,165.5892333984375,383.7088623046875,179.8050537109375,125.16287231445312,550.02001953125,224.79490661621094,63.62302017211914,178.94000244140625,2474.3701171875,104.28041076660156
