Date,AAPL,MSFT,GOOG,GOOGL,AMZN,TSLA,BRK-B,UNH,JNJ,XOM,WMT,NVDA,JPM,META,PG,V,CVX,MA,LLY,HD,BAC,KO,ABBV,PFE,PEP,COST,MRK,TMO,DHR,AVGO
2021-09-27,144.5599365234375,291.7267761230469,141.50100708007812,141.07200622558594,170.2899932861328,263.78668212890625,279.7200012207031,400.07403564453125,158.9775848388672,56.73402404785156,140.0127410888672,216.426513671875,160.9012908935547,353.5799865722656,137.3767852783203,227.98422241210938,99.01425170898438,354.2442932128906,223.24557495117188,333.6661682128906,42.319114685058594,52.03527069091797,102.43862915039062,42.190860748291016,148.6636962890625,456.7601013183594,70.87376403808594,593.4315185546875,314.68450927734375,490.0654296875
2021-09-28,141.11924743652344,281.1651916503906,136.1840057373047,135.8300018310547,165.79800415039062,259.1866760253906,276.7900085449219,393.50933837890625,158.62684631347656,57.32719421386719,138.29026794433594,206.82420349121094,160.03404235839844,340.6499938964844,136.33914184570312,223.97267150878906,99.38926696777344,348.6938171386719,218.51246643066406,326.2287902832031,42.221290588378906,51.0937614440918,102.07725524902344,41.67763137817383,147.03805541992188,443.65911865234375,70.83512115478516,575.24951171875,302.6847229003906,476.64044189453125
2021-09-29,142.0341033935547,281.6412353515625,134.52099609375,134.35350036621094,165.05599975585938,260.4366760253906,277.2900085449219,395.27642822265625,159.80577087402344,57.2889289855957,138.23121643066406,205.0056610107422,159.9087677001953,339.6099853515625,137.72592163085938,225.08477783203125,99.36041259765625,350.68963623046875,227.150390625,329.2878112792969,42.13325119018555,51.404361724853516,103.50371551513672,42.15211868286133,148.25486755371094,448.0625,72.54512786865234,578.3929443359375,305.5447082519531,475.14556884765625
2021-09-30,140.71151733398438,279.57855224609375,133.2655029296875,133.67599487304688,164.2519989013672,258.49334716796875,272.94000244140625,385.7303771972656,157.3505096435547,56.27479934692383,137.18789672851562,206.9940643310547,157.73106384277344,339.3900146484375,135.57302856445312,221.18243408203125,97.5526351928711,345.21856689453125,227.83078002929688,320.814453125,41.5267333984375,50.92875671386719,102.58129119873047,41.64857864379883,146.4150390625,445.6426086425781,72.56446075439453,570.1401977539062,303.3822326660156,470.7287902832031
2021-10-01,141.8551025390625,286.6988830566406,136.46249389648438,136.54299926757812,164.16299438476562,258.40667724609375,275.7099914550781,387.398681640625,156.34698486328125,58.293495178222656,134.89451599121094,207.25384521484375,161.0458221435547,343.010009765625,135.3596954345703,228.8381805419922,100.3219985961914,357.6300964355469,226.39111328125,322.3781433105469,42.14303207397461,51.46260070800781,103.741455078125,41.57111358642578,146.94070434570312,444.6310119628906,78.64128112792969,571.5272216796875,301.2696228027344,473.0779113769531
2021-10-04,138.3646697998047,280.7586364746094,133.76499938964844,133.6595001220703,159.48899841308594,260.510009765625,273.6400146484375,382.0482177734375,155.1290740966797,59.04930877685547,133.59527587890625,197.1619415283203,160.8723602294922,326.2300109863281,134.5935516357422,223.14849853515625,100.697021484375,341.76324462890625,221.71717834472656,319.0650634765625,42.397377014160156,51.4334831237793,103.39911651611328,41.07725524902344,146.2106170654297,436.50860595703125,80.2836685180664,567.8150024414062,297.5326843261719,462.0117492675781
2021-10-05,140.3236846923828,286.3616943359375,136.177001953125,136.0229949951172,161.0500030517578,260.1966552734375,278.04998779296875,388.3858642578125,155.47984313964844,58.953636169433594,134.47129821777344,204.34619140625,163.49948120117188,332.9599914550781,135.1172332763672,222.70167541503906,101.79322052001953,340.7802429199219,227.7124481201172,322.00677490234375,43.25823974609375,51.52083969116211,104.140869140625,40.98042297363281,147.0769805908203,442.5582580566406,78.83451080322266,570.6890258789062,298.4793395996094,471.2044372558594
2021-10-06,141.20872497558594,290.675537109375,137.35400390625,137.56500244140625,163.10049438476562,260.9166564941406,280.2200012207031,389.19537353515625,155.8013458251953,57.87253189086914,135.45555114746094,206.83419799804688,163.8484344482422,333.6400146484375,136.92100524902344,224.91598510742188,100.8989486694336,346.2214660644531,224.67538452148438,322.8667907714844,43.27780532836914,52.132328033447266,103.9601821899414,40.68991470336914,150.84420776367188,445.6327209472656,77.92636108398438,574.4012451171875,299.55560302734375,474.466064453125
2021-10-07,142.49154663085938,292.4011535644531,139.1855010986328,139.22500610351562,165.1215057373047,264.53668212890625,282.95001220703125,399.5113830566406,157.19461059570312,58.03517532348633,137.0500946044922,210.58119201660156,164.88568115234375,329.2200012207031,138.01686096191406,228.92755126953125,101.62012481689453,351.8485412597656,229.93109130859375,329.8253479003906,43.16040802001953,52.297340393066406,105.43419647216797,41.38713073730469,152.23622131347656,449.1335754394531,79.1629867553711,582.2947998046875,301.55859375,479.45550537109375
2021-10-08,142.10369873046875,292.4011535644531,140.05599975585938,139.78550720214844,164.43099975585938,261.8299865722656,284.1400146484375,403.2231750488281,156.79513549804688,59.48940658569336,137.46347045898438,208.1431427001953,165.01171875,330.04998779296875,137.44468688964844,228.64952087402344,103.89908599853516,352.89239501953125,230.68052673339844,326.7565612792969,43.37562942504883,52.5302848815918,105.72898864746094,41.10630798339844,151.8857879638672,448.12200927734375,77.89738464355469,582.7039184570312,298.7284851074219,478.4168395996094
2021-10-11,142.01422119140625,291.78631591796875,138.84750366210938,138.91400146484375,162.31500244140625,263.9800109863281,280.92999267578125,399.79766845703125,156.13262939453125,58.896236419677734,137.33551025390625,206.78424072265625,161.54124450683594,325.45001220703125,138.01686096191406,223.5258331298828,103.01443481445312,345.12786865234375,230.41427612304688,329.326904296875,42.82780456542969,52.637054443359375,104.93016815185547,40.72865676879883,152.0902099609375,445.98974609375,77.22109985351562,577.4548950195312,297.7020263671875,477.9217834472656
2021-10-12,140.72146606445312,290.4474792480469,136.71299743652344,136.44900512695312,162.3665008544922,268.5733337402344,278.6199951171875,398.070068359375,153.63839721679688,58.590084075927734,137.18789672851562,206.54443359375,160.30043029785156,323.7699890136719,137.8131866455078,222.47329711914062,103.03366088867188,343.3283996582031,229.53668212890625,330.1380920410156,42.5930290222168,52.637054443359375,103.24695587158203,40.52529525756836,152.7618865966797,443.18310546875,76.89262390136719,574.7105712890625,295.8186340332031,471.06854248046875
2021-10-13,140.12481689453125,293.8489685058594,137.89999389648438,137.58200073242188,164.21400451660156,270.3599853515625,277.8999938964844,398.3761291503906,155.10960388183594,58.42743682861328,136.1937713623047,209.22227478027344,156.07382202148438,324.5400085449219,138.13320922851562,220.8944854736328,103.6490707397461,340.3558654785156,233.1456756591797,330.607177734375,42.201725006103516,52.646766662597656,103.20891571044922,40.10890579223633,153.79371643066406,441.62603759765625,76.27430725097656,572.365478515625,294.8320617675781,470.80645751953125
2021-10-14,142.95892333984375,300.2355041503906,141.41200256347656,141.1510009765625,164.9929962158203,272.7733459472656,281.6400146484375,414.9706115722656,155.99620056152344,59.31719207763672,137.67018127441406,217.2858123779297,158.46826171875,328.5299987792969,139.69451904296875,223.59532165527344,104.62989044189453,342.5728454589844,233.3922119140625,336.2463073730469,44.08974838256836,53.005897521972656,104.82592010498047,40.35099411010742,155.02999877929688,446.9418029785156,75.67533111572266,576.1476440429688,299.38616943359375,483.0277404785156
2021-10-15,144.03289794921875,301.68341064453125,141.6750030517578,141.3679962158203,170.4510040283203,281.010009765625,284.2099914550781,422.5817565917969,157.15565490722656,59.88166427612305,138.3394775390625,218.44488525390625,161.51217651367188,324.760009765625,140.0533447265625,229.3644561767578,105.39915466308594,353.92633056640625,234.5656280517578,342.4620666503906,45.36147689819336,52.87971115112305,105.23017120361328,40.176692962646484,154.59193420410156,448.65753173828125,75.67533111572266,581.1771240234375,300.3328857421875,488.51226806640625
2021-10-18,145.73338317871094,304.73779296875,142.9604949951172,142.7779998779297,172.33700561523438,290.03668212890625,282.5899963378906,419.1759948730469,156.00595092773438,59.852962493896484,139.45169067382812,222.04200744628906,161.45401000976562,335.3399963378906,138.0362548828125,229.02684020996094,105.35107421875,356.35211181640625,235.65029907226562,346.9577331542969,45.27342987060547,52.35557556152344,103.40142059326172,40.0120735168457,153.8910675048828,458.138671875,74.53531646728516,586.805419921875,303.1231689453125,488.6190490722656
2021-10-19,147.93104553222656,305.6700134277344,143.82200622558594,143.23699951171875,172.20750427246094,288.0899963378906,284.8299865722656,418.9391174316406,159.65960693359375,60.75228500366211,142.4143829345703,222.72146606445312,163.41220092773438,339.989990234375,136.4070281982422,231.8766632080078,107.40886688232422,359.9908142089844,238.9339141845703,349.8701171875,45.46908187866211,52.55940628051758,103.42066955566406,40.7577018737793,155.84768676757812,463.2262878417969,76.79601287841797,590.8668823242188,307.40826416015625,495.44317626953125
2021-10-20,148.42825317382812,304.8568115234375,142.4149932861328,141.7689971923828,170.7530059814453,288.6000061035156,287.489990234375,429.5117492675781,159.57191467285156,61.08713912963867,143.70376586914062,220.8529510498047,165.6127471923828,340.7799987792969,136.94041442871094,229.7914276123047,108.81278228759766,354.6918640136719,240.32424926757812,350.1047058105469,46.06581497192383,53.025306701660156,104.34467315673828,41.445228576660156,157.02554321289062,465.8941345214844,78.32247161865234,604.3387451171875,313.7261962890625,494.47247314453125
2021-10-21,148.64703369140625,308.17901611328125,142.78050231933594,141.88600158691406,171.75050354003906,298.0,286.82000732421875,436.60955810546875,159.20169067382812,59.977333068847656,144.5010223388672,226.7382354736328,164.31375122070312,341.8800048828125,135.95486450195312,228.61973571777344,107.44732666015625,354.1351013183594,237.80978393554688,356.3497619628906,45.81147003173828,52.75353240966797,104.68154907226562,41.50333023071289,154.9521026611328,473.2926025390625,78.41908264160156,607.1428833007812,309.660400390625,499.09307861328125
2021-10-22,147.86146545410156,306.5922546386719,138.625,137.56649780273438,166.77749633789062,303.2266540527344,289.239990234375,443.4013977050781,159.5134735107422,60.38872528076172,146.0069580078125,227.07797241210938,166.5239715576172,324.6099853515625,137.4185333251953,229.60276794433594,108.46661376953125,356.5808410644531,240.3538360595703,357.6886291503906,46.535377502441406,52.8505973815918,105.04728698730469,41.7938346862793,155.72113037109375,478.0132751464844,78.3997573852539,610.685546875,312.2912292480469,500.3161315917969
2021-10-25,147.8117218017578,305.57086181640625,138.7729949951172,137.44700622558594,166.01849365234375,341.6199951171875,290.260009765625,443.7271423339844,159.8642120361328,61.56550216674805,147.69992065429688,231.47445678710938,165.70968627929688,328.69000244140625,137.4380645751953,232.23411560058594,109.47626495361328,358.75799560546875,241.6357421875,362.8391418457031,46.4766845703125,52.637054443359375,104.4312973022461,41.784149169921875,154.99105834960938,486.056396484375,78.89247131347656,606.4843139648438,305.0364990234375,506.7811279296875
2021-10-26,148.48794555664062,307.5343322753906,139.6719970703125,139.30850219726562,168.80349731445312,339.4766540527344,290.8500061035156,448.81109619140625,161.49131774902344,62.991031646728516,146.4105224609375,246.97203063964844,166.1555938720703,315.80999755859375,139.38958740234375,230.18862915039062,109.71666717529297,355.2386474609375,244.97850036621094,360.8258972167969,46.916893005371094,52.87001037597656,105.38416290283203,42.181175231933594,156.88925170898438,481.5240783691406,79.46247863769531,607.0731201171875,305.86358642578125,518.235595703125
2021-10-27,148.02056884765625,320.4859619140625,146.42750549316406,146.21749877929688,169.62449645996094,345.9533386230469,287.7799987792969,447.666015625,159.532958984375,61.355018615722656,145.20970153808594,244.31414794921875,162.69485473632812,312.2200012207031,138.39430236816406,214.26148986816406,107.7646484375,333.7644958496094,246.68438720703125,363.8751220703125,46.016902923583984,53.889163970947266,104.33504486083984,41.60984802246094,156.34414672851562,485.0745849609375,78.77654266357422,611.0148315429688,304.1794738769531,507.7906494140625
2021-10-28,151.7198486328125,321.6560974121094,146.12899780273438,145.8489990234375,172.32850646972656,359.0133361816406,289.7200012207031,449.6008605957031,158.6658172607422,61.5272331237793,146.11521911621094,249.2102508544922,165.14744567871094,316.9200134277344,139.2237091064453,208.36328125,108.7743148803711,331.09014892578125,249.82009887695312,363.1421203613281,46.74081039428711,54.393890380859375,105.55741119384766,41.813201904296875,157.32730102539062,487.2698974609375,83.61674499511719,618.7786865234375,303.5118103027344,514.0615234375
2021-10-29,148.96527099609375,328.86572265625,148.27049255371094,148.04600524902344,168.6215057373047,371.3333435058594,287.010009765625,454.5663757324219,158.69505310058594,61.68031692504883,147.0699920654297,255.4652099609375,164.6918182373047,323.57000732421875,139.52621459960938,210.27972412109375,110.0916748046875,333.565673828125,251.21041870117188,363.3082580566406,46.74081039428711,54.71419143676758,110.36991882324219,42.3554801940918,157.307861328125,488.2731628417969,85.06591796875,631.7515258789062,310.686767578125,516.1000366210938
2021-11-01,148.12994384765625,326.6343994140625,143.7740020751953,143.4969940185547,165.90550231933594,402.86334228515625,286.239990234375,448.28790283203125,158.8314666748047,62.79011535644531,147.4341583251953,258.0631103515625,164.6045684814453,329.9800109863281,139.18467712402344,210.96485900878906,110.1301498413086,332.10418701171875,245.83636474609375,358.1675720214844,46.809288024902344,54.52006530761719,110.5046615600586,42.258636474609375,156.9768829345703,488.60101318359375,84.86302185058594,633.77734375,308.6040344238281,512.5859985351562
2021-11-02,149.1840362548828,330.36322021484375,145.86300659179688,145.4324951171875,165.6374969482422,390.6666564941406,287.92999267578125,446.2444763183594,161.3354034423828,62.015174865722656,147.36526489257812,263.79852294921875,165.2540740966797,328.0799865722656,140.57029724121094,207.668212890625,109.45703887939453,326.5666809082031,253.27130126953125,358.95916748046875,46.8386344909668,54.452125549316406,112.16017150878906,44.0113525390625,158.41757202148438,493.6869201660156,86.00303649902344,634.8751220703125,312.1616516113281,521.3418579101562
2021-11-03,150.64584350585938,331.2259826660156,146.7899932861328,146.59800720214844,169.1999969482422,404.6199951171875,288.7200012207031,451.46661376953125,160.81903076171875,61.16368103027344,147.81802368164062,265.7669372558594,165.31224060058594,331.6199951171875,141.5363006591797,206.63555908203125,108.66854095458984,327.5111083984375,262.5502014160156,360.60107421875,47.31797790527344,54.63654708862305,113.16116333007812,43.40128707885742,159.93614196777344,498.991455078125,85.67455291748047,641.0322265625,309.7699890136719,526.4866333007812
2021-11-04,150.11878967285156,333.64569091796875,148.68299865722656,148.2675018310547,173.85000610351562,409.9700012207031,287.69000244140625,450.9039611816406,160.37086486816406,61.6229133605957,148.9007110595703,297.77130126953125,163.14077758789062,335.8500061035156,141.79977416992188,207.3107452392578,109.14933776855469,333.4761657714844,267.22418212890625,363.73828125,46.300601959228516,54.93743896484375,112.6702880859375,42.834716796875,159.94586181640625,512.193115234375,87.47151184082031,638.4276733398438,304.9268798828125,532.5536499023438
2021-11-05,150.6565704345703,333.26885986328125,149.24099731445312,148.8520050048828,175.94949340820312,407.36334228515625,287.8800048828125,449.9660949707031,159.23092651367188,62.20650863647461,147.8672332763672,297.28167724609375,162.9081268310547,341.1300048828125,142.5023193359375,215.14523315429688,110.33207702636719,346.75836181640625,261.3077697753906,360.04400634765625,45.948429107666016,55.17039108276367,112.78580474853516,47.4845085144043,161.5909881591797,509.7097473144531,78.84416198730469,615.5154418945312,291.065185546875,542.5519409179688
2021-11-08,149.82003784179688,334.1911315917969,149.35150146484375,149.031005859375,174.44900512695312,387.64666748046875,288.79998779296875,456.68878173828125,158.68528747558594,62.876224517822266,146.92234802246094,307.7933044433594,163.88720703125,338.6199951171875,141.438720703125,218.93833923339844,110.72633361816406,347.63323974609375,256.9000244140625,360.22967529296875,46.31037902832031,54.675376892089844,111.70779418945312,47.21099090576172,158.11578369140625,500.4616394042969,79.87789916992188,623.16943359375,300.3030090332031,542.5811157226562
2021-11-09,150.18850708007812,333.1597595214844,149.24850463867188,148.9185028076172,178.81149291992188,341.1666564941406,286.3500061035156,458.3966369628906,158.33456420898438,63.488529205322266,147.4341583251953,306.324462890625,162.64637756347656,335.3699951171875,141.86807250976562,211.8883056640625,111.5436782836914,342.6424865722656,258.3692626953125,362.24298095703125,45.860389709472656,54.83067321777344,111.27466583251953,46.204833984375,159.1671142578125,505.32904052734375,79.91654968261719,617.2918090820312,298.1505126953125,541.4647827148438
