initial_stock_price,volatility,option_price,probability
100,0.100000,0.002103,0.646300
100,0.100000,0.027335,0.000600
100,0.100000,0.115647,0.000600
100,0.100000,3.492552,0.000500
100,0.100000,1.839845,0.000500
100,0.100000,6.297527,0.000500
100,0.100000,1.759943,0.000500
100,0.100000,4.085508,0.000500
100,0.100000,1.692658,0.000500
100,0.100000,5.061151,0.000500
100,0.100000,1.503416,0.000500
100,0.100000,0.796916,0.000500
100,0.100000,0.380585,0.000500
100,0.100000,1.465568,0.000500
100,0.100000,0.855791,0.000500
100,0.100000,2.302435,0.000500
100,0.100000,10.994915,0.000500
100,0.100000,2.172069,0.000500
100,0.100000,0.927282,0.000400
100,0.100000,0.506746,0.000400
100,0.100000,6.524617,0.000400
100,0.100000,5.103205,0.000400
100,0.100000,4.102329,0.000400
100,0.100000,1.078675,0.000400
100,0.100000,0.582442,0.000400
100,0.100000,6.512001,0.000400
100,0.100000,7.588573,0.000400
100,0.100000,1.709479,0.000400
100,0.100000,4.051865,0.000400
100,0.100000,5.149464,0.000400
100,0.100000,1.755738,0.000400
100,0.100000,4.114945,0.000400
100,0.100000,1.095496,0.000400
100,0.100000,3.559838,0.000400
100,0.100000,1.780970,0.000400
100,0.100000,0.481514,0.000400
100,0.100000,4.514454,0.000400
100,0.100000,2.895391,0.000400
100,0.100000,1.865077,0.000400
100,0.100000,2.432801,0.000400
100,0.100000,3.946731,0.000400
100,0.100000,0.632907,0.000400
100,0.100000,8.543190,0.000400
100,0.100000,1.326791,0.000400
100,0.100000,1.629577,0.000400
100,0.100000,11.036968,0.000400
100,0.100000,0.910461,0.000400
100,0.100000,2.975292,0.000400
100,0.100000,8.131064,0.000400
100,0.100000,0.876818,0.000400
100,0.100000,4.299981,0.000400
100,0.100000,1.318380,0.000400
100,0.100000,0.834764,0.000400
100,0.100000,0.826353,0.000400
100,0.100000,0.822148,0.000400
100,0.100000,4.733133,0.000400
100,0.100000,0.809532,0.000400
100,0.100000,4.918169,0.000400
100,0.100000,7.895564,0.000400
100,0.100000,4.665847,0.000400
100,0.100000,0.788505,0.000400
100,0.100000,1.225863,0.000400
100,0.100000,2.592605,0.000400
100,0.100000,1.532854,0.000400
100,0.100000,6.764322,0.000400
100,0.100000,2.924828,0.000400
100,0.100000,9.001574,0.000400
100,0.100000,7.639037,0.000400
100,0.100000,1.991238,0.000400
100,0.100000,2.205712,0.000400
100,0.100000,3.488346,0.000400
100,0.100000,0.279656,0.000400
100,0.100000,0.292273,0.000400
100,0.100000,3.761695,0.000400
100,0.100000,5.956893,0.000400
100,0.100000,0.300683,0.000400
100,0.100000,2.378131,0.000400
100,0.100000,3.395829,0.000400
100,0.100000,3.673382,0.000400
100,0.100000,5.780268,0.000400
100,0.100000,0.262835,0.000400
100,0.100000,5.418607,0.000400
100,0.100000,3.614507,0.000400
100,0.100000,2.003854,0.000400
100,0.100000,2.235149,0.000400
100,0.100000,3.404239,0.000400
100,0.100000,0.060978,0.000400
100,0.100000,9.729101,0.000400
100,0.100000,3.328543,0.000400
100,0.100000,2.050113,0.000400
100,0.100000,5.813911,0.000300
100,0.100000,5.376553,0.000300
100,0.100000,4.800419,0.000300
100,0.100000,4.926580,0.000300
100,0.100000,5.481687,0.000300
100,0.100000,2.697739,0.000300
100,0.100000,5.767652,0.000300
100,0.100000,1.385666,0.000300
100,0.100000,2.331872,0.000300
100,0.100000,1.389872,0.000300
100,0.100000,2.315051,0.000300
100,0.100000,5.389169,0.000300
100,0.100000,2.323462,0.000300
100,0.100000,4.838267,0.000300
100,0.100000,1.423514,0.000300
100,0.100000,2.125810,0.000300
100,0.100000,2.117399,0.000300
100,0.100000,12.025228,0.000300
100,0.100000,2.083756,0.000300
100,0.100000,4.884526,0.000300
100,0.100000,1.894515,0.000300
100,0.100000,2.731382,0.000300
100,0.100000,5.712982,0.000300
100,0.100000,2.243560,0.000300
100,0.100000,2.239354,0.000300
100,0.100000,1.179604,0.000300
